name,age,ast,ast,crdr,crdy,gls,gls,min,mp,nation,pk,pos,starts,team,xag,xag,xg,xg
Ben White,27-344,0.0,0.0,0.0,0.0,0.0,0.0,70.0,1,eng ENG,0.0,DF,1,Arsenal,0.0,0.06,0.0,0.02
Ethan Nwaneri,18-180,0.0,0.0,0.0,0.0,0.0,0.0,126.0,2,eng ENG,0.0,MF,0,Arsenal,0.0,0.03,0.2,0.12
Myles Lewis-Skelly,18-356,0.0,0.0,0.0,1.0,0.0,0.0,69.0,3,eng ENG,0.0,DF,0,Arsenal,0.0,0.0,0.0,0.0
Leandro Trossard,30-287,1.0,1.8,0.0,0.0,0.0,0.0,50.0,2,be BEL,0.0,FW,0,Arsenal,0.1,0.23,0.1,0.13
Kai Havertz,26-098,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1,de GER,0.0,FW,0,Arsenal,0.0,0.0,0.0,0.0
Max Dowman,15-260,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2,eng ENG,0.0,FW,0,Arsenal,0.0,0.0,0.1,0.43
Andre Annous,17-264,,,,,,,,0,eng ENG,,FW,0,Arsenal,,,,
Kepa Arrizabalaga,30-349,,,,,,,,0,es ESP,,GK,0,Arsenal,,,,
Piero Hincapié,23-251,,,,,,,,0,ec ECU,,DF,0,Arsenal,,,,
Jakub Kiwior,25-214,,,,,,,,0,pl POL,,"DF,MF",0,Arsenal,,,,
Squad Total,25.7,6.0,1.5,0.0,7.0,9.0,2.25,360.0,4,,1.0,,44,Arsenal,3.2,0.79,6.2,1.56
Opponent Total,26.4,0.0,0.0,0.0,6.0,1.0,0.25,360.0,4,,0.0,,44,Arsenal,1.9,0.46,2.4,0.6
Cristian Romero,27-143,1.0,0.25,0.0,1.0,0.0,0.0,360.0,4,ar ARG,0.0,DF,4,Tottenham-Hotspur,0.2,0.04,0.1,0.02
Guglielmo Vicario,28-345,0.0,0.0,0.0,0.0,0.0,0.0,360.0,4,it ITA,0.0,GK,4,Tottenham-Hotspur,0.0,0.0,0.0,0.0
Mohammed Kudus,25-046,2.0,0.52,0.0,0.0,0.0,0.0,349.0,4,gh GHA,0.0,"FW,MF",4,Tottenham-Hotspur,1.1,0.29,0.5,0.14
Micky van de Ven,24-151,0.0,0.0,0.0,1.0,1.0,0.26,349.0,4,nl NED,0.0,DF,4,Tottenham-Hotspur,0.1,0.02,0.7,0.17
Pape Matar Sarr,23-003,1.0,0.26,0.0,0.0,1.0,0.26,345.0,4,sn SEN,0.0,MF,4,Tottenham-Hotspur,0.4,0.12,0.3,0.08
Pedro Porro,26-004,0.0,0.0,0.0,1.0,0.0,0.0,340.0,4,es ESP,0.0,DF,4,Tottenham-Hotspur,0.6,0.15,0.1,0.03
Djed Spence,25-039,0.0,0.0,0.0,2.0,0.0,0.0,340.0,4,eng ENG,0.0,DF,4,Tottenham-Hotspur,0.0,0.01,0.2,0.05
Richarlison,28-130,1.0,0.35,0.0,1.0,2.0,0.7,257.0,4,br BRA,0.0,FW,3,Tottenham-Hotspur,0.7,0.25,0.8,0.3
João Palhinha,30-070,0.0,0.0,0.0,0.0,1.0,0.37,243.0,4,pt POR,0.0,MF,3,Tottenham-Hotspur,0.0,0.0,0.4,0.13
