name,nation,pos,age,mp,starts,min,gls,gls,ast,ast,pk,crdy,crdr,xg,xg,xag,xag,team
Myles Lewis-Skelly,eng ENG,DF,18-356,3,0,69.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Leandro Trossard,be BEL,FW,30-287,2,0,50.0,0.0,0.0,1.0,1.8,0.0,0.0,0.0,0.1,0.13,0.1,0.23,Arsenal
Kai Havertz,de GER,FW,26-098,1,0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Max Dowman,eng ENG,FW,15-260,2,0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.43,0.0,0.0,Arsenal
Andre Annous,eng ENG,FW,17-264,0,0,,,,,,,,,,,,,Arsenal
Kepa Arrizabalaga,es ESP,GK,30-349,0,0,,,,,,,,,,,,,Arsenal
Piero Hincapié,ec ECU,DF,23-251,0,0,,,,,,,,,,,,,Arsenal
Jakub Kiwior,pl POL,"DF,MF",25-214,0,0,,,,,,,,,,,,,Arsenal
Cristian Romero,ar ARG,DF,27-143,4,4,360.0,0.0,0.0,1.0,0.25,0.0,1.0,0.0,0.1,0.02,0.2,0.04,Tottenham-Hotspur
Guglielmo Vicario,it ITA,GK,28-345,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham-Hotspur
Mohammed Kudus,gh GHA,"FW,MF",25-046,4,4,349.0,0.0,0.0,2.0,0.52,0.0,0.0,0.0,0.5,0.14,1.1,0.29,Tottenham-Hotspur
Micky van de Ven,nl NED,DF,24-151,4,4,349.0,1.0,0.26,0.0,0.0,0.0,1.0,0.0,0.7,0.17,0.1,0.02,Tottenham-Hotspur
Pape Matar Sarr,sn SEN,MF,23-003,4,4,345.0,1.0,0.26,1.0,0.26,0.0,0.0,0.0,0.3,0.08,0.4,0.12,Tottenham-Hotspur
Pedro Porro,es ESP,DF,26-004,4,4,340.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.03,0.6,0.15,Tottenham-Hotspur
Djed Spence,eng ENG,DF,25-039,4,4,340.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.05,0.0,0.01,Tottenham-Hotspur
Richarlison,br BRA,FW,28-130,4,3,257.0,2.0,0.7,1.0,0.35,0.0,1.0,0.0,0.8,0.3,0.7,0.25,Tottenham-Hotspur
João Palhinha,pt POR,MF,30-070,4,3,243.0,1.0,0.37,0.0,0.0,0.0,0.0,0.0,0.4,0.13,0.0,0.0,Tottenham-Hotspur
Brennan Johnson,wls WAL,FW,24-117,4,3,220.0,2.0,0.82,0.0,0.0,0.0,1.0,0.0,0.9,0.37,0.2,0.07,Tottenham-Hotspur
Rodrigo Bentancur,uy URU,MF,28-084,3,2,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,Tottenham-Hotspur
Lucas Bergvall,se SWE,MF,19-227,4,2,200.0,1.0,0.45,1.0,0.45,0.0,0.0,0.0,0.3,0.13,0.3,0.11,Tottenham-Hotspur
Mathys Tel,fr FRA,FW,20-143,3,1,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.0,0.0,Tottenham-Hotspur
Archie Gray,eng ENG,MF,19-189,1,1,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham-Hotspur
Xavi Simons,nl NED,FW,22-149,1,1,70.0,0.0,0.0,1.0,1.29,0.0,0.0,0.0,0.0,0.04,0.1,0.16,Tottenham-Hotspur
Wilson Odobert,fr FRA,"FW,MF",20-293,4,0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.37,0.1,0.16,Tottenham-Hotspur
